Timestamp,Central America,Africa,Middle East,Oceania,South America,Russia,Asia,Europe,North America
2024-06-13 07:50:00,29,71,521,556,380,1014,7265,2370,2675
2024-06-13 08:00:00,29,73,534,564,371,1025,7340,2474,2634
2024-06-13 08:10:00,27,73,566,579,356,1036,7391,2604,2619
2024-06-13 08:20:00,27,75,576,580,351,1084,7490,2690,2575
2024-06-13 08:30:00,26,79,599,580,323,1099,7625,2802,2442
2024-06-13 08:40:00,26,79,606,578,299,1128,7736,2840,2327
2024-06-13 08:50:00,26,80,620,578,288,1133,7764,2918,2281
2024-06-13 09:00:00,27,80,636,578,288,1146,7861,2968,2281
2024-06-13 09:10:00,27,82,665,593,303,1191,8105,3177,2682
2024-06-13 09:20:00,27,91,695,661,304,1295,8460,3515,2682
2024-06-13 09:30:00,27,98,704,661,304,1304,8510,3570,2588
2024-06-13 09:40:00,25,98,716,647,295,1319,8636,3587,2367
2024-06-13 09:50:00,25,98,737,637,295,1333,8812,3604,2243
2024-06-13 10:00:00,25,98,747,631,296,1345,9121,3651,2203
2024-06-13 10:10:00,22,100,752,622,297,1347,9364,3785,2194
2024-06-13 10:20:00,22,100,764,618,298,1362,9628,3825,2162
2024-06-13 10:30:00,20,99,769,605,303,1385,9942,3828,2072
2024-06-13 10:40:00,20,99,769,587,311,1400,10185,3910,2038
2024-06-13 10:50:00,20,100,775,584,323,1400,10344,3963,1969
2024-06-13 11:00:00,20,100,775,548,323,1396,10561,4011,1961
2024-06-13 11:10:00,20,101,777,548,352,1396,10741,4084,1915
2024-06-13 11:20:00,21,104,794,536,382,1412,10932,4202,1915
2024-06-13 11:30:00,21,104,804,522,413,1412,11012,4206,1881
2024-06-13 11:40:00,22,105,809,495,421,1414,11144,4274,1877
2024-06-13 11:50:00,24,105,815,483,443,1414,11259,4346,1881
2024-06-13 12:00:00,24,105,817,476,465,1426,11350,4424,1886
2024-06-13 12:10:00,25,108,817,458,514,1438,11460,4488,1929
2024-06-13 12:20:00,27,108,819,448,549,1442,11566,4577,1933
2024-06-13 12:30:00,28,103,819,427,593,1463,11637,4635,1954
2024-06-13 12:40:00,28,102,819,414,616,1463,11753,4714,1990
2024-06-13 12:50:00,29,102,816,395,640,1461,11811,4787,2010
2024-06-13 13:00:00,31,104,813,385,653,1454,11862,4806,2086
2024-06-13 13:10:00,34,105,812,372,697,1437,11880,4893,2202
2024-06-13 13:20:00,35,112,810,363,738,1437,11882,4960,2237
2024-06-13 13:30:00,34,114,810,357,767,1486,11886,5073,2265
2024-06-13 13:40:00,35,114,822,342,798,1498,11919,5184,2324
2024-06-13 13:50:00,35,113,827,329,835,1519,11919,5289,2340
2024-06-13 14:00:00,36,112,828,312,865,1528,11812,5401,2376
2024-06-13 14:10:00,36,112,836,304,877,1528,11641,5478,2468
2024-06-13 14:20:00,41,115,839,288,919,1528,11525,5591,2536
2024-06-13 14:30:00,41,116,839,273,940,1562,11334,5680,2556
2024-06-13 14:40:00,42,116,839,254,987,1603,11183,5826,2638
2024-06-13 14:50:00,43,116,841,252,1030,1673,10955,6059,2857
2024-06-13 15:00:00,48,116,855,251,1041,1687,10667,6231,2911
2024-06-13 15:10:00,49,116,856,246,1074,1698,10214,6395,2943
2024-06-13 15:20:00,50,117,868,239,1112,1694,9966,6692,3082
2024-06-13 15:30:00,51,125,875,227,1130,1698,9528,6866,3132
2024-06-13 15:40:00,52,131,880,213,1137,1703,8986,6941,3201
2024-06-13 15:50:00,54,132,888,210,1160,1713,8524,7033,3292
2024-06-13 16:00:00,56,133,898,205,1178,1713,8141,7163,3314
2024-06-13 16:10:00,57,136,904,205,1223,1713,7765,7306,3591
2024-06-13 16:20:00,62,137,906,210,1326,1740,7390,7888,4436
2024-06-13 16:30:00,67,145,935,210,1383,1756,6992,8185,4790
2024-06-13 16:40:00,74,145,942,208,1402,1764,6618,8285,4992
2024-06-13 16:50:00,74,145,945,198,1410,1786,6265,8335,5030
2024-06-13 17:00:00,74,143,945,198,1410,1792,5920,8358,5065
2024-06-13 17:10:00,74,142,942,199,1410,1794,5591,8418,5121
2024-06-13 17:20:00,73,141,941,201,1436,1804,5255,8526,5141
2024-06-13 17:30:00,73,141,938,201,1446,1804,4961,8538,5141
2024-06-13 17:40:00,72,138,940,193,1446,1798,4678,8541,5148
2024-06-13 17:50:00,72,136,933,179,1464,1787,4430,8546,5148
